-0.61,0.369,0.723
0.546,-0.482,0.755
-1.141,-0.498,0.241
0.964,0.08,0.482
-0.851,-0.418,0.498
0.755,0.129,0.562
-0.932,-0.562,0.514
0.835,0.064,0.594
-0.803,-0.337,0.594
0.9,0.145,0.675
0.337,0.835,0.45
0.048,-0.755,0.353
0.273,0.707,0.626
0.032,-0.98,0.321
0.177,0.851,0.659
-0.032,-0.948,0.418
-0.08,0.755,0.61
0.016,-0.819,0.514
-0.707,-1.173,-0.048
0.643,0.659,0.546
-0.948,0.145,0.643
0.514,-0.241,0.723
-0.498,0.064,0.739
0.932,-0.064,0.53
-0.61,-0.257,0.819
0.562,0.594,0.819
-0.321,-1.526,-0.273
0.257,0.771,0.739
0.257,-0.884,0.643
-0.835,0.594,0.851
1.012,-0.032,0.723
-0.594,-0.707,0.546
1.108,0.45,0.61
0.369,-0.643,0.402
-0.113,0.626,0.771
0.723,-0.289,0.659
-0.948,-0.064,0.675
0.675,-0.402,0.546
-0.996,-0.578,0.626
0.9,0.145,0.562
-0.594,-0.53,0.627
0.161,0.755,0.851
-0.659,-0.37,0.626
0.321,0.369,0.578
-0.096,-0.787,0.369
0.53,0.434,0.739
-0.627,-0.418,0.61
0.321,0.691,0.707
-1.398,0.112,0.803
0.9,-0.096,0.514
-0.691,0.096,0.61
0.819,-0.032,0.819
-0.739,0.096,0.771
0.498,-0.032,0.883
0.626,0.932,0.257
-0.434,-0.948,0.353
0.402,0.867,0.45
-0.177,-0.867,0.562
-0.996,0.048,0.434
0.98,0.032,0.353
-0.851,-0.289,0.434
0.996,0.386,0.771
0.594,0.916,0.482
-0.209,-0.996,0.402
-1.462,-0.643,0.594
0.98,-0.113,0.337
-0.771,-0.096,0.755
1.173,-0.289,0.257
-0.691,-0.161,0.755
1.526,-0.241,-0.048
0,-0.61,0.996
0.064,-0.048,1.044
0.096,-0.048,1.06
0.048,-0.064,0.996
0.048,-0.048,1.028
0.048,-0.032,1.092
0.032,-0.048,1.06
0.048,-0.048,1.06
0.064,-0.032,1.012
0.064,-0.064,0.98
0.064,-0.048,1.108
0.337,0.514,0.851
-0.787,-0.225,0.594
-0.867,0,0.803
0.369,-0.305,0.98
-0.193,-0.771,0.53
-0.691,-0.707,0.369
-0.819,0.546,0.45
0.755,0.129,0.739
0.466,-0.273,0.675
0.145,-0.643,0.755
-0.659,-0.273,0.707
-0.016,0.546,0.803
0.209,-0.289,0.948
-0.273,-0.739,0.482
-1.076,-0.37,0.53
-0.273,0.08,1.189
0.016,-0.691,0.61
-0.98,-0.273,0.337
0,0.803,0.964
0.659,0.193,0.851
-0.177,-0.498,0.883
0.016,0,1.044
0.643,0.353,0.932
-0.064,0.016,1.044
-0.016,0.128,1.06
-0.048,0.08,0.98
-0.016,0.064,1.076
-0.578,-0.145,0.193
-1.381,0,0.112
-1.092,0.032,0.225
-0.353,0.048,0.835
-0.916,-0.578,0.418
-0.723,0.096,1.157
1.237,-0.161,0.337
1.253,-0.466,0.257
1.173,-0.016,0.386
1.189,-0.386,0.161
0.787,-0.08,0.562
0.546,-0.064,0.627
0.369,-0.273,0.771
0.53,0.691,0.321
0.659,0.418,0.626
0.016,-0.932,0.482
-0.241,-0.562,0.674
-1.189,0.257,0
0.209,-0.386,0.739
0.241,-0.337,0.932
-0.707,0.032,0.45
1.06,-0.402,0.514
-1.574,-0.337,0.386
0.675,0.546,0.064
-0.209,-0.466,0.578
